Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.5749998437502812,0.28124986875025626,0.14375028749946248,0.5749998437502812,0.7187501312497437,0.6468749875000125,
DST,0.9923640840721117,0.007635916845855624,8.144920954352826e-16,0.9923640840721117,0.9923640840721125,0.9923640840721122,
Yager,0.9799614220146938,1.5138087413837434e-07,0.02003842660443233,0.9799614220146938,0.9999998486191262,0.9899806353169099,
Murphy,0.9852752507668523,0.01472222688537534,2.5223477715418183e-06,0.9852752507668523,0.9852777731146238,0.9852765119407381,
Dubois-Prade,0.9799614220146938,1.5138087413837434e-07,0.02003842660443233,0.9799614220146938,0.9999998486191262,0.9899806353169099,
PCR5,0.9915913490640079,0.008408650935991994,1.9999860000599995e-22,0.9915913490640079,0.9915913490640079,0.9915913490640079,
