Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.6437499000001,0.16875012499987502,0.187499975000025,0.6437499000001,0.831249875000125,0.7374998875001125,
DST,0.9993196298676922,0.0006773462801719526,3.02385213543884e-06,0.9993196298676922,0.9993226537198276,0.9993211417937599,
Yager,0.817049583039217,0.035799524779675226,0.14715089218110783,0.817049583039217,0.9642004752203248,0.8906250291297709,
Murphy,0.9988631684309219,0.0011301378747054355,6.6936943728408e-06,0.9988631684309219,0.9988698621252948,0.9988665152781083,
Dubois-Prade,0.817049583039217,0.035799524779675226,0.14715089218110783,0.817049583039217,0.9642004752203248,0.8906250291297709,
PCR5,0.976258204883449,0.023741155117191035,6.399993600006401e-07,0.976258204883449,0.976258844882809,0.976258524883129,
