Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.09375062499887502,0.8062489000021,0.100000474999025,0.09375062499887502,0.19375109999790002,0.1437508624983875,
DST,5.18519051846608e-25,1.0000000000000018,2.9629511111407436e-27,5.18519051846608e-25,5.214820029577488e-25,5.200005274021784e-25,
Yager,1.240011379973519e-07,0.9919984730022808,0.008001402996582216,1.240011379973519e-07,0.008001526997720212,0.004000825499429105,
Murphy,4.342874205977387e-06,0.9999956351455328,2.1980261579075586e-08,4.342874205977387e-06,4.364854467556462e-06,4.353864336766925e-06,
Dubois-Prade,1.240011379973519e-07,0.9919984730022808,0.008001402996582216,1.240011379973519e-07,0.008001526997720212,0.004000825499429105,
PCR5,0.0012739129947618166,0.9987260870052381,1.199989200058799e-27,0.0012739129947618166,0.0012739129947618166,0.0012739129947618166,
