Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.5562497500005,0.3437497500005,0.100000499999,0.5562497500005,0.6562502499995,0.6062500000000001,
DST,0.9601678445870876,0.040006993524461326,6.945644706700514e-16,0.9601678445870876,0.9601678445870883,0.9601678445870879,
Yager,1.5949964045078162e-06,0.33249964150053224,0.667498763503064,1.5949964045078162e-06,0.6675003584994685,0.3337509767479365,
Murphy,0.9581231052346758,0.041876616228287776,2.785370402396262e-07,0.9581231052346758,0.958123383771716,0.958123244503196,
Dubois-Prade,1.5949964045078162e-06,0.33249964150053224,0.667498763503064,1.5949964045078162e-06,0.6675003584994685,0.3337509767479365,
PCR5,0.4385466692834973,0.5614533307165027,1.2499900000499986e-27,0.4385466692834973,0.4385466692834973,0.4385466692834973,
