Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.312500000000125,0.5062497750003501,0.18125022499952498,0.312500000000125,0.49375022499965,0.4031251124998875,
DST,0.021805073206897667,0.978194928417694,1.7035111365222235e-10,0.021805073206897667,0.021805073377248782,0.021805073292073224,
Yager,0.15027007831475178,0.5187797614707563,0.33095016021449236,0.15027007831475178,0.4812202385292441,0.31574515842199796,
Murphy,0.0660761984357378,0.9339020064947441,2.1795069522808565e-05,0.0660761984357378,0.0660979935052606,0.0660870959704992,
Dubois-Prade,0.15027007831475178,0.5187797614707563,0.33095016021449236,0.15027007831475178,0.4812202385292441,0.31574515842199796,
PCR5,0.24285963074485184,0.7571403692551483,4.4999775000764987e-17,0.24285963074485184,0.2428596307448519,0.24285963074485187,
