Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.075000499999125,0.7624991500016001,0.16250034999927498,0.075000499999125,0.2375008499984,0.1562506749987625,
DST,6.871359502859943e-20,1.0000000000000007,1.4619839181374267e-21,6.871359502859943e-20,7.017557894673686e-20,6.944458698766814e-20,
Yager,1.0799995935035102e-07,0.9884988893020238,0.011501002698017435,1.0799995935035102e-07,0.011501110697976786,0.005750609348968068,
Murphy,1.798062534434977e-05,0.999981112192263,9.071823934852436e-07,1.798062534434977e-05,1.8887807737835013e-05,1.8434216541092393e-05,
Dubois-Prade,1.0799995935035102e-07,0.9884988893020238,0.011501002698017435,1.0799995935035102e-07,0.011501110697976786,0.005750609348968068,
PCR5,6.78260362891042e-05,0.9999321739637108,7.4999475002324975e-22,6.78260362891042e-05,6.78260362891042e-05,6.78260362891042e-05,
