Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.7812494000011,0.10625022499952501,0.112500374999375,0.7812494000011,0.893749775000475,0.8374995875007875,
DST,0.9999999999999974,4.5186875050026235e-15,3.0258918845529506e-22,0.9999999999999974,0.9999999999999974,0.9999999999999974,
Yager,0.8521599861439492,0.02292000450401713,0.12492000935203434,0.8521599861439492,0.9770799954959835,0.9146199908199664,
Murphy,0.9999871216301384,1.2815346925810994e-05,6.302293597092488e-08,0.9999871216301384,0.9999871846530743,0.9999871531416064,
Dubois-Prade,0.8521599861439492,0.02292000450401713,0.12492000935203434,0.8521599861439492,0.9770799954959835,0.9146199908199664,
PCR5,0.9851504968969078,0.014849503103092146,1.199994000020399e-22,0.9851504968969078,0.9851504968969078,0.9851504968969078,
