Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.7249990000020001,0.137500499999,0.137500499999,0.7249990000020001,0.8624995000010001,0.7937492500015001,
DST,1.0000000000000024,4.559748524826946e-24,1.1661760933061244e-26,1.0000000000000024,1.0000000000000024,1.0000000000000024,
Yager,0.9999984580021919,1.020015281941217e-07,1.4399962808081171e-06,0.9999984580021919,0.9999998979984727,0.9999991780003323,
Murphy,0.9998932034640056,0.0001063793620270056,4.171739687333552e-07,0.9998932034640056,0.9998936206379743,0.9998934120509899,
Dubois-Prade,0.9999984580021919,1.020015281941217e-07,1.4399962808081171e-06,0.9999984580021919,0.9999998979984727,0.9999991780003323,
PCR5,0.9999362520084683,6.374799153173219e-05,3.199974400127998e-27,0.9999362520084683,0.9999362520084683,0.9999362520084683,
