Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.15000037499925,0.7812492500015,0.06875037499925,0.15000037499925,0.21875074999850003,0.18437556249887502,
DST,8.610315812609389e-20,1.0000000000000027,7.694652200723316e-23,8.610315812609389e-20,8.618010464810112e-20,8.614163138709751e-20,
Yager,8.004995772731876e-08,0.9934489162571261,0.00655100369291702,8.004995772731876e-08,0.006551083742874748,0.0032755818964162373,
Murphy,1.923963520273031e-05,0.9999807585331479,1.831649375815018e-09,1.923963520273031e-05,1.9241466852106125e-05,1.9240551027418215e-05,
Dubois-Prade,8.004995772731876e-08,0.9934489162571261,0.00655100369291702,8.004995772731876e-08,0.006551083742874748,0.0032755818964162373,
PCR5,2.5506572173914073e-05,0.9999744934278261,1.499991000035999e-23,2.5506572173914073e-05,2.5506572173914073e-05,2.5506572173914073e-05,
