Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.11250049999912498,0.7437491500016,0.14375034999927497,0.11250049999912498,0.2562508499984,0.18437567499876245,
DST,1.3231319489675317e-19,1.0000000000000016,1.0204051020469395e-21,1.3231319489675317e-19,1.3333359999880011e-19,1.3282339744777664e-19,
Yager,0.006000443999337816,0.6939995325006881,0.30000002349997495,0.006000443999337816,0.30600046749931276,0.1560004557493253,
Murphy,4.782737399186786e-05,0.999951698923615,4.7370239235896897e-07,4.782737399186786e-05,4.830107638422683e-05,4.806422518804734e-05,
Dubois-Prade,0.006000443999337816,0.6939995325006881,0.30000002349997495,0.006000443999337816,0.30600046749931276,0.1560004557493253,
PCR5,0.06998766556857688,0.9300123344314232,3.5999748001116003e-22,0.06998766556857688,0.06998766556857688,0.06998766556857688,
